#{"t_start": 1780253741.6994593, "env_id": "None"}
r,l,t
-104.69672,83,11.851127
-75.84216,80,11.853745
-321.1571,105,11.877949
-111.107,77,11.885097
-14.4421425,76,11.896157
-27.546642,95,11.907539
-144.67209,112,11.913027
-5.338352,134,11.918074
-22.703308,95,17.893561
-34.544426,112,17.920317
-52.445892,76,17.923133
16.499798,131,17.927614
21.24937,132,17.956957
-57.30547,81,17.959349
-212.96945,96,17.984433
-101.16831,92,17.990112
-142.81091,82,17.998065
-10.466274,80,18.003007
-81.61383,97,18.006376
-73.19615,68,18.009077
-37.551613,82,18.032454
-109.97922,132,18.064857
-37.683235,84,18.071382
-152.64264,98,18.075038
-92.562904,125,18.110519
-114.634155,86,18.149656
-91.96402,107,18.159434
-63.57108,111,18.164627
-50.54864,97,18.17272
-37.023205,83,18.179925
40.061817,89,18.186617
-85.768074,59,18.20922
-111.08229,106,18.220709
-104.09639,70,18.223457
-91.76343,100,18.223543
-121.07947,100,18.22629
-18.533112,103,18.235368
-82.58217,93,18.238282
-26.601002,151,18.251288
-48.198353,72,18.26774
-48.776855,71,18.317649
-113.36102,76,18.344484
-17.748337,67,18.35652
-49.609463,76,18.36346
-17.226551,139,18.368117
-39.130085,96,18.37718
-79.314255,57,18.383224
-47.901638,110,18.387364
-76.1133,116,18.391608
-50.55819,81,18.397348
-83.16765,91,18.404149
-55.038757,96,18.417538
-9.1781845,94,18.42122
40.55832,127,18.424636
14.83638,98,18.443844
-95.01531,72,18.461776
-6.189068,84,18.502063
-60.629307,146,18.507301
-9.004543,82,18.533509
-0.57167435,69,18.549174
-118.81423,95,18.551471
-56.339993,106,18.561978
-102.163864,108,18.573931
-80.85298,100,18.590251
-105.673454,94,18.601319
-107.12332,112,18.60399
-62.18041,85,18.608248
-50.247856,75,18.60833
-69.413216,126,18.626249
-113.15646,113,18.642836
-35.230507,134,18.652072
-97.32034,132,18.662174
-102.76364,65,18.68128
-86.15547,91,18.690524
-87.48301,105,18.711713
-38.373444,91,18.715044
-45.58951,69,18.735725
-54.505043,97,18.74159
-1.0079842,79,18.747729
-56.42855,73,18.753909
-79.67909,88,18.787099
-2.1730843,73,18.793923
-78.90855,90,18.810455
-91.23888,104,18.815757
-4.601387,125,18.825423
-115.36352,78,18.8381
-26.385494,98,18.858871
-174.07187,159,18.879046
-54.511124,75,18.892245
-32.22419,133,18.914849
-80.354164,88,18.925402
-73.64289,121,18.927805
-129.86731,112,18.934781
32.377125,83,18.952707
-51.413834,86,18.952812
10.598717,127,18.968035
-34.01467,122,18.982834
-66.04695,122,18.991608
-128.54698,96,19.015117
-18.951977,105,19.019302
-39.509853,98,19.033563
-22.876934,126,19.06584
-53.159107,103,19.065916
-30.481504,96,19.072015
-48.502777,71,19.082114
-23.15869,74,19.105366
-7.6727333,81,19.119425
-79.450455,104,19.137726
-43.99918,104,19.14084
-104.193726,111,19.140926
-56.195877,134,19.158942
-89.382286,104,19.178437
-100.015236,95,19.209454
-67.36891,123,19.230381
2.3728104,90,19.256715
-108.11662,127,19.263096
-141.94379,140,19.266612
-79.58937,124,19.274219
-44.621494,114,19.294599
-42.55586,71,19.298668
-137.90776,84,19.304221
-72.08126,88,19.312596
-106.2197,114,19.329402
-40.45562,137,19.336488
-88.31561,111,19.355437
-123.32789,125,19.364134
-16.792587,155,19.370333
-59.535732,92,19.386379
-18.852558,66,19.386471
-3.6350288,71,19.408216
-78.6711,71,19.412464
-106.71486,74,19.426419
-39.702236,78,19.455901
-96.526215,147,19.468736
-18.671207,82,19.489341
-40.47821,143,19.509011
-29.9049,93,19.516995
5.434284,84,19.529507
-134.20537,89,19.531722
-26.883879,58,19.537575
-26.38546,115,19.540315
-59.97346,88,19.545016
-24.799168,81,19.549764
-179.2764,128,19.559146
-198.99245,138,19.569484
2.868225,85,19.57876
-62.606667,100,19.601249
-88.924835,124,19.631838
-21.746452,89,19.641143
-60.475784,64,19.643758
-26.280231,72,19.680439
-86.58464,122,19.68887
-26.570684,106,19.694463
-5.36911,93,19.707868
-126.570496,90,19.720103
-1.5593834,114,19.729887
-45.89222,104,19.729964
-59.065926,102,19.737117
-83.475494,92,19.755011
-31.629215,60,19.757107
-120.438995,123,19.774411
-45.39468,111,19.781316
-49.21537,74,19.786077
-21.041557,95,19.786166
-47.93674,95,19.81252
-114.619774,78,19.833644
-183.77739,149,19.847015
-88.17301,62,19.852884
-27.15227,109,19.903799
-81.312164,89,19.906559
-93.668274,69,19.906646
-59.25753,113,19.906661
-40.088764,96,19.914678
-33.732056,76,19.926267
11.925209,80,25.780908
-62.292213,66,25.783383
1.8464775,125,25.807924
-57.295746,130,25.808016
-58.52037,111,25.817066
-95.077805,67,25.827312
-74.64591,124,25.839715
-27.086214,79,25.843727
-80.281296,58,25.86379
-12.764664,124,25.867508
-19.068394,106,25.88072
-79.830536,60,25.964571
-82.07622,90,25.998882
33.28827,83,26.008426
-11.85017,107,26.051001
-45.904404,117,26.051082
-77.94333,93,26.060632
-72.41637,94,26.070954
-114.71188,107,26.092865
-1.0835228,98,26.092959
13.80201,144,26.107845
-13.071419,99,26.112756
-54.313786,147,26.117023
-33.74188,92,26.142529
-26.121258,102,26.145435
-110.56917,83,26.185575
-47.248833,106,26.187651
41.257267,142,26.193799
-6.318325,100,26.208906
-110.06349,68,26.228706
-42.432106,146,26.235611
-89.35558,96,26.251504
-2.782032,93,26.264603
-2.4395103,79,26.275278
-10.671444,99,26.295965
-40.648697,78,26.304885
-52.864227,126,26.315034
-2.3176613,106,26.339372
-16.152306,111,26.34264
-96.95213,157,26.388688
-1.0643272,123,26.396544
31.411442,121,26.433887
-20.34312,122,26.433978
-32.541374,129,26.457102
-103.26547,116,26.471797
-54.319626,98,26.471879
-41.78253,91,26.490074
-0.8612709,104,26.509741
-23.226154,85,26.512719
-75.59777,92,26.525489
-40.625885,145,26.53105
4.2499084,161,26.542988
-25.922625,79,26.546864
-2.702858,146,26.563628
-53.03546,134,26.586257
-91.7496,104,26.603236
-28.853554,176,26.608916
13.16444,75,26.610903
-46.80946,102,26.638324
-42.55038,82,26.646807
-13.871685,65,26.661192
-59.36797,100,26.667725
-44.681793,102,26.671916
-48.26245,91,26.696032
3.6432915,98,26.696113
7.7909584,103,26.707502
-38.789528,143,26.716707
36.23358,75,26.72569
-116.32895,111,26.738305
-35.96578,87,26.767971
-6.1021423,129,26.802422
6.7707634,75,26.808558
9.74968,82,26.818934
-77.170425,113,26.821842
19.244083,151,26.830665
-39.370342,105,26.836385
-37.959637,82,26.858901
23.262787,80,26.863955
41.773914,142,26.86663
-1.6986427,108,26.874613
-3.61932,101,26.887314
-40.437588,101,26.8874
-106.54755,96,26.921826
-39.634064,150,26.935219
-11.483101,68,26.94401
0.347332,73,26.964797
